## date = '2021-02-27 20:01:09.014810'
## execstr = '/home/jamesk/.local/bin/psite Metagene/Outputs/refGene_orfs_rois.txt ../RiboScore/Inputs/Offsets/SRR2433794 --min_length 25 --max_length 34 --aggregate --constrain 10 15 --default 12 --require_upstream --count_files ../RiboScore/Inputs/Bam_Files/SRR2433794.bam'
## args = {  
##          'aggregate'        : True,,
##          'cmap'             : None,,
##          'constrain'        : [10, 15],,
##          'count_files'      : ['../RiboScore/Inputs/Bam_Files/SRR2433794.bam'],,
##          'countfile_format' : 'BAM',,
##          'default'          : 12,,
##          'dpi'              : 150,,
##          'figformat'        : 'png',,
##          'figsize'          : None,,
##          'keep'             : False,,
##          'mapping'          : 'fiveprime',,
##          'max_length'       : 34,,
##          'min_counts'       : 10,,
##          'min_length'       : 25,,
##          'nibble'           : 0,,
##          'norm_region'      : None,,
##          'normalize_over'   : None,,
##          'offset'           : 0,,
##          'outbase'          : '../RiboScore/Inputs/Offsets/SRR2433794',,
##          'require_upstream' : True,,
##          'roi_file'         : 'Metagene/Outputs/refGene_orfs_rois.txt',,
##          'stylesheet'       : None,,
##          'sum'              : None,,
##          'title'            : None,,
##          'warnlevel'        : 0,
##        }
x	25-mers	26-mers	27-mers	28-mers	29-mers	30-mers	31-mers	32-mers	33-mers	34-mers
-50	1.0	4.0	63.0	227.0	768.0	292.0	4.0	nan	nan	nan
-49	1.0	2.0	81.0	331.0	1063.0	737.0	0.0	nan	nan	nan
-48	2.0	35.0	123.0	775.0	2331.0	772.0	1.0	nan	nan	nan
-47	0.0	15.0	73.0	377.0	864.0	500.0	0.0	nan	nan	nan
-46	0.0	24.0	115.0	631.0	1443.0	604.0	2.0	nan	nan	nan
-45	1.0	74.0	215.0	1068.0	2324.0	1057.0	1.0	nan	nan	nan
-44	1.0	28.0	153.0	293.0	1270.0	438.0	11.0	nan	nan	nan
-43	0.0	11.0	116.0	463.0	1283.0	675.0	2.0	nan	nan	nan
-42	1.0	53.0	311.0	852.0	2897.0	1317.0	7.0	0.0	nan	nan
-41	0.0	25.0	94.0	425.0	1194.0	546.0	4.0	0.0	nan	nan
-40	1.0	18.0	127.0	437.0	1201.0	554.0	5.0	0.0	nan	nan
-39	0.0	10.0	133.0	738.0	2242.0	924.0	6.0	0.0	nan	nan
-38	1.0	9.0	95.0	479.0	1100.0	354.0	6.0	0.0	nan	nan
-37	2.0	7.0	105.0	433.0	1348.0	550.0	6.0	0.0	nan	nan
-36	3.0	41.0	142.0	737.0	2490.0	1010.0	6.0	0.0	nan	nan
-35	0.0	22.0	113.0	398.0	1201.0	514.0	2.0	0.0	nan	nan
-34	1.0	26.0	56.0	253.0	1362.0	1477.0	16.0	0.0	nan	nan
-33	1.0	26.0	127.0	789.0	2920.0	983.0	37.0	0.0	nan	nan
-32	0.0	28.0	158.0	648.0	1498.0	643.0	11.0	0.0	nan	nan
-31	0.0	24.0	151.0	451.0	1268.0	595.0	5.0	0.0	nan	nan
-30	1.0	85.0	332.0	1105.0	3394.0	1349.0	1.0	0.0	nan	nan
-29	2.0	35.0	171.0	913.0	2077.0	547.0	45.0	0.0	nan	nan
-28	0.0	31.0	220.0	841.0	1674.0	558.0	64.0	0.0	nan	nan
-27	3.0	38.0	390.0	1110.0	1914.0	3070.0	50.0	0.0	nan	nan
-26	1.0	47.0	181.0	284.0	2271.0	667.0	15.0	0.0	nan	nan
-25	0.0	33.0	60.0	1026.0	2349.0	1284.0	30.0	0.0	nan	nan
-24	2.0	25.0	361.0	1245.0	3592.0	1897.0	31.0	0.0	nan	nan
